"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"130",8,"Malik Willis",MIA,"QB21","6","4 out of 5","3 out of 5","3 out of 5 stars","+35"
"131",8,"Xavier Worthy",KC,"WR54","5","4 out of 5","3 out of 5","2 out of 5 stars","0"
"132",8,"Mark Andrews",BAL,"TE16","13","4 out of 5","4 out of 5","4 out of 5 stars","-4"
"133",8,"Woody Marks",HOU,"RB42","8","3 out of 5","4 out of 5","4 out of 5 stars","-1"
"134",8,"Tyler Allgeier",ARI,"RB43","14","4 out of 5","4 out of 5","2 out of 5 stars","+6"
"135",9,"Chris Rodriguez Jr.",JAC,"RB44","7","3 out of 5","4 out of 5","4 out of 5 stars","+2"
"136",9,"Sam Darnold",SEA,"QB22","11","2 out of 5","4 out of 5","4 out of 5 stars","+48"
"137",9,"Tyjae Spears",TEN,"RB45","9","4 out of 5","4 out of 5","3 out of 5 stars","+6"
"138",9,"Jordyn Tyson",NO,"WR55","8","4 out of 5","5 out of 5","3 out of 5 stars","+6"
"139",9,"C.J. Stroud",HOU,"QB23","8","3 out of 5","4 out of 5","4 out of 5 stars","+43"
"140",9,"Daniel Jones",IND,"QB24","13","4 out of 5","4 out of 5","4 out of 5 stars","+38"
"141",9,"Jonah Coleman",DEN,"RB46","10","4 out of 5","4 out of 5","2 out of 5 stars","+11"
"142",9,"Deebo Samuel Sr.",SF,"WR56","8","4 out of 5","3 out of 5","2 out of 5 stars","-8"
"143",9,"Rashid Shaheed",SEA,"WR57","11","3 out of 5","4 out of 5","3 out of 5 stars","+4"
"144",9,"Dylan Sampson",CLE,"RB47","11","4 out of 5","3 out of 5","3 out of 5 stars","+28"
"145",9,"Josh Jacobs",GB,"RB48","11","3 out of 5","5 out of 5","4 out of 5 stars","-66"
"146",9,"Mike Washington Jr.",LV,"RB49","13","4 out of 5","4 out of 5","2 out of 5 stars","-17"
"147",9,"Zach Charbonnet",SEA,"RB50","11","3 out of 5","4 out of 5","4 out of 5 stars","-2"
"148",9,"Keaton Mitchell",LAC,"RB51","7","4 out of 5","3 out of 5","3 out of 5 stars","+13"
"149",9,"Denzel Boston",CLE,"WR58","11","4 out of 5","4 out of 5","3 out of 5 stars","+17"
"150",9,"Tre Tucker",LV,"WR59","13","4 out of 5","2 out of 5","2 out of 5 stars","+21"
"151",9,"Cam Ward",TEN,"QB25","9","4 out of 5","4 out of 5","3 out of 5 stars","+63"
"152",9,"Brenton Strange",JAC,"TE17","7","4 out of 5","4 out of 5","3 out of 5 stars","+5"
"153",9,"Chig Okonkwo",WAS,"TE18","7","4 out of 5","4 out of 5","1 out of 5 stars","+47"
"154",9,"Dalton Schultz",HOU,"TE19","8","4 out of 5","2 out of 5","4 out of 5 stars","+16"
"155",9,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-52"
"156",9,"Hunter Henry",NE,"TE20","11","2 out of 5","3 out of 5","4 out of 5 stars","0"
"157",9,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","+55"
"158",9,"Tank Bigsby",PHI,"RB52","10","4 out of 5","4 out of 5","4 out of 5 stars","+9"
"159",9,"Adonai Mitchell",NYJ,"WR60","13","4 out of 5","4 out of 5","4 out of 5 stars","+76"
"160",9,"Alvin Kamara",NO,"RB53","8","2 out of 5","4 out of 5","3 out of 5 stars","-2"
"161",9,"Kayshon Boutte",HOU,"WR61","8","3 out of 5","4 out of 5","3 out of 5 stars","+35"
"162",9,"Jerry Jeudy",CLE,"WR62","11","1 out of 5","4 out of 5","3 out of 5 stars","+19"
"163",9,"Los Angeles Rams",LAR,"DST2","11","-","-","2 out of 5 stars","-57"
"164",9,"Denver Broncos",DEN,"DST3","10","-","-","4 out of 5 stars","-49"
"165",9,"Jalen McMillan",TB,"WR63","10","4 out of 5","3 out of 5","4 out of 5 stars","+36"
"166",10,"Brian Robinson Jr.",ATL,"RB54","11","2 out of 5","4 out of 5","2 out of 5 stars","-3"
"167",10,"Seattle Seahawks",SEA,"DST4","11","-","-","2 out of 5 stars","-44"
"168",10,"Dontayvion Wicks",PHI,"WR64","10","4 out of 5","4 out of 5","4 out of 5 stars","+91"
"169",10,"Braelon Allen",NYJ,"RB55","13","1 out of 5","4 out of 5","3 out of 5 stars","+28"
"170",10,"Tyrone Tracy Jr.",NYG,"RB56","8","1 out of 5","4 out of 5","4 out of 5 stars","+23"
"171",10,"Emmett Johnson",KC,"RB57","5","4 out of 5","4 out of 5","3 out of 5 stars","+14"
"172",10,"Jauan Jennings",MIN,"WR65","6","2 out of 5","4 out of 5","5 out of 5 stars","+30"
"173",10,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-34"
"174",10,"Tre' Harris",LAC,"WR66","7","4 out of 5","2 out of 5","2 out of 5 stars","+65"
"175",10,"Omar Cooper Jr.",NYJ,"WR67","13","4 out of 5","4 out of 5","4 out of 5 stars","+50"
"176",10,"T.J. Hockenson",MIN,"TE21","6","3 out of 5","4 out of 5","4 out of 5 stars","-8"
"177",10,"Ryan Flournoy",DAL,"WR68","14","4 out of 5","3 out of 5","2 out of 5 stars","+54"
"178",10,"Pat Bryant",DEN,"WR69","10","3 out of 5","4 out of 5","2 out of 5 stars","+67"
"179",10,"Ray Davis",BUF,"RB58","7","-","-","2 out of 5 stars","+48"
"180",10,"Jalen Nailor",LV,"WR70","13","-","-","2 out of 5 stars","+23"
"181",10,"Keenan Allen",IND,"WR71","13","3 out of 5","4 out of 5","4 out of 5 stars","-4"
"182",10,"Malik Washington",MIA,"WR72","6","3 out of 5","4 out of 5","3 out of 5 stars","+31"
"183",10,"Brandon Aubrey",DAL,"K1","14","5 out of 5","2 out of 5","2 out of 5 stars","-87"
"184",10,"Jacoby Brissett",ARI,"QB27","14","3 out of 5","5 out of 5","2 out of 5 stars","+38"
"185",10,"Pittsburgh Steelers",PIT,"DST6","9","-","-","5 out of 5 stars","-34"
"186",10,"Minnesota Vikings",MIN,"DST7","6","-","-","1 out of 5 stars","-27"
"187",10,"New England Patriots",NE,"DST8","11","-","-","3 out of 5 stars","-34"
"188",10,"Jacksonville Jaguars",JAC,"DST9","7","-","-","3 out of 5 stars","-24"
"189",10,"Cameron Dicker",LAC,"K2","7","5 out of 5","1 out of 5","2 out of 5 stars","-54"
"190",10,"Ka'imi Fairbairn",HOU,"K3","8","5 out of 5","1 out of 5","2 out of 5 stars","-57"
"191",10,"Los Angeles Chargers",LAC,"DST10","7","-","-","3 out of 5 stars","-22"
"192",10,"Baltimore Ravens",BAL,"DST11","13","-","-","5 out of 5 stars","-37"
"193",10,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-43"
"194",10,"AJ Barner",SEA,"TE22","11","4 out of 5","2 out of 5","3 out of 5 stars","+15"
"195",10,"Jason Myers",SEA,"K5","11","4 out of 5","2 out of 5","4 out of 5 stars","-59"
"196",10,"Kimani Vidal",LAC,"RB59","7","1 out of 5","4 out of 5","3 out of 5 stars","+45"
"197",10,"Terrance Ferguson",LAR,"TE23","11","4 out of 5","4 out of 5","4 out of 5 stars","+1"
"198",10,"Jaylin Noel",HOU,"WR73","8","4 out of 5","4 out of 5","3 out of 5 stars","+81"
"199",10,"Isiah Pacheco",DET,"RB60","6","3 out of 5","4 out of 5","5 out of 5 stars","-25"
"200",10,"Aaron Rodgers",PIT,"QB28","9","2 out of 5","4 out of 5","2 out of 5 stars","+37"
"201",10,"Travis Hunter",JAC,"WR74","7","2 out of 5","4 out of 5","4 out of 5 stars","+57"
"202",10,"Calvin Ridley",TEN,"WR75","9","2 out of 5","4 out of 5","3 out of 5 stars","-8"
"203",10,"Ja'Kobi Lane",BAL,"WR76","13","4 out of 5","4 out of 5","4 out of 5 stars","-30"
"204",10,"Eddy Pineiro",SF,"K6","8","4 out of 5","1 out of 5","5 out of 5 stars","-25"
"205",10,"Kansas City Chiefs",KC,"DST12","5","-","-","3 out of 5 stars","-14"
"206",10,"Sean Tucker",TB,"RB61","10","4 out of 5","4 out of 5","2 out of 5 stars","+42"
"207",10,"Kenyon Sadiq",NYJ,"TE24","13","4 out of 5","4 out of 5","4 out of 5 stars","-32"
"208",11,"Tyler Loop",BAL,"K7","13","-","-","3 out of 5 stars","-25"
"209",11,"Geno Smith",NYJ,"QB29","13","2 out of 5","4 out of 5","4 out of 5 stars","+183"
"210",11,"Gunnar Helm",TEN,"TE25","9","3 out of 5","3 out of 5","3 out of 5 stars","+73"
"211",11,"Chris Bell",MIA,"WR77","6","3 out of 5","4 out of 5","3 out of 5 stars","+32"
"212",11,"Malachi Fields",NYG,"WR78","8","4 out of 5","4 out of 5","4 out of 5 stars","+17"
"213",11,"Kaelon Black",SF,"RB62","8","4 out of 5","4 out of 5","2 out of 5 stars","-18"
"214",11,"Green Bay Packers",GB,"DST13","11","-","-","2 out of 5 stars","-25"
"215",11,"Jake Bates",DET,"K8","6","4 out of 5","2 out of 5","5 out of 5 stars","-55"
"216",11,"Nicholas Singleton",TEN,"RB63","9","2 out of 5","4 out of 5","3 out of 5 stars","+22"
"217",11,"Oronde Gadsden II",LAC,"TE26","7","3 out of 5","4 out of 5","4 out of 5 stars","+40"
"218",11,"Malik Davis",DAL,"RB64","14","-","-","4 out of 5 stars","+50"
"219",11,"Cooper Kupp",SEA,"WR79","11","2 out of 5","4 out of 5","3 out of 5 stars","-9"
"220",11,"Isaac TeSlaa",DET,"WR80","6","3 out of 5","4 out of 5","4 out of 5 stars","+49"
"221",11,"Zachariah Branch",ATL,"WR81","11","3 out of 5","4 out of 5","3 out of 5 stars","+21"
"222",11,"Cairo Santos",CHI,"K9","10","3 out of 5","2 out of 5","0 out of 5 stars","-30"
"223",11,"Pat Freiermuth",PIT,"TE27","9","3 out of 5","3 out of 5","2 out of 5 stars","+23"
"224",11,"Evan McPherson",CIN,"K10","6","4 out of 5","2 out of 5","2 out of 5 stars","-38"
"225",11,"Rashod Bateman",BAL,"WR82","13","2 out of 5","4 out of 5","4 out of 5 stars","+62"
"226",11,"Caleb Douglas",MIA,"WR83","6","3 out of 5","4 out of 5","3 out of 5 stars","-18"
"227",11,"Andy Borregales",NE,"K11","11","-","-","1 out of 5 stars","-12"
"228",11,"Kaytron Allen",WAS,"RB65","7","3 out of 5","4 out of 5","4 out of 5 stars","+16"
"229",11,"Harrison Mevis",LAR,"K12","11","4 out of 5","2 out of 5","2 out of 5 stars","-67"
"230",11,"Darnell Mooney",NYG,"WR84","8","3 out of 5","4 out of 5","4 out of 5 stars","+75"
"231",11,"Buffalo Bills",BUF,"DST14","7","-","-","3 out of 5 stars","-41"
"232",11,"Najee Harris",NYG,"RB66","8","2 out of 5","4 out of 5","4 out of 5 stars","+2"
"233",11,"Detroit Lions",DET,"DST15","6","-","-","5 out of 5 stars","-53"
"234",11,"Justice Hill",BAL,"RB67","13","-","-","3 out of 5 stars","-10"
"235",11,"Chase McLaughlin",TB,"K13","10","4 out of 5","2 out of 5","3 out of 5 stars","-16"
"236",11,"Cade Otton",TB,"TE28","10","2 out of 5","4 out of 5","2 out of 5 stars","-16"
"237",11,"Germie Bernard",PIT,"WR85","9","2 out of 5","4 out of 5","3 out of 5 stars","+49"
"238",11,"James Conner",ARI,"RB68","14","3 out of 5","4 out of 5","2 out of 5 stars","+35"
"239",11,"Troy Franklin",DEN,"WR86","10","1 out of 5","4 out of 5","2 out of 5 stars","+56"
"240",11,"Jaylen Wright",MIA,"RB69","6","-","-","3 out of 5 stars","+14"
"241",11,"Greg Dulcich",MIA,"TE29","6","4 out of 5","4 out of 5","5 out of 5 stars","-24"
"242",11,"Cleveland Browns",CLE,"DST16","11","-","-","5 out of 5 stars","-43"
"243",11,"George Holani",SEA,"RB70","11","2 out of 5","4 out of 5","4 out of 5 stars","+20"
"244",11,"Tank Dell",HOU,"WR87","8","4 out of 5","4 out of 5","3 out of 5 stars","-39"
"245",11,"Antonio Williams",WAS,"WR88","7","4 out of 5","2 out of 5","2 out of 5 stars","+27"
"246",11,"Devaughn Vele",NO,"WR89","8","2 out of 5","4 out of 5","3 out of 5 stars","+6"
"247",11,"Ted Hurst III",TB,"WR90","10","4 out of 5","4 out of 5","4 out of 5 stars","+2"
"248",11,"Emanuel Wilson",SEA,"RB71","11","3 out of 5","4 out of 5","4 out of 5 stars","+69"
"249",11,"Kaleb Johnson",GB,"RB72","11","2 out of 5","5 out of 5","4 out of 5 stars","-16"
"250",11,"Evan Engram",DEN,"TE30","10","-","-","4 out of 5 stars","+120"
"251",11,"Chris Brooks",GB,"RB73","11","2 out of 5","4 out of 5","4 out of 5 stars","+29"
"252",11,"Keon Coleman",BUF,"WR91","7","2 out of 5","4 out of 5","4 out of 5 stars","+48"
"253",11,"Harrison Butker",KC,"K14","5","-","-","5 out of 5 stars","-77"
"254",11,"Jack Bech",LV,"WR92","13","3 out of 5","4 out of 5","2 out of 5 stars","+50"
"255",11,"Chris Boswell",PIT,"K15","9","4 out of 5","2 out of 5","4 out of 5 stars","-48"
"256",11,"David Njoku",LAC,"TE31","7","4 out of 5","4 out of 5","4 out of 5 stars","-40"
"257",11,"Samaje Perine",CIN,"RB74","6","2 out of 5","5 out of 5","2 out of 5 stars","+20"
"258",11,"Demond Claiborne",MIN,"RB75","6","3 out of 5","4 out of 5","4 out of 5 stars","+53"
"259",11,"Cyrus Allen",KC,"WR93","5","4 out of 5","4 out of 5","2 out of 5 stars","-55"
"260",11,"Fernando Mendoza",LV,"QB30","13","4 out of 5","3 out of 5","1 out of 5 stars","-32"
"261",11,"Ollie Gordon II",MIA,"RB76","6","3 out of 5","4 out of 5","3 out of 5 stars","+169"
"262",12,"Elic Ayomanor",TEN,"WR94","9","1 out of 5","5 out of 5","3 out of 5 stars","+56"
"263",12,"Isaiah Davis",NYJ,"RB77","13","3 out of 5","4 out of 5","3 out of 5 stars","+405"
